Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.1384,Sun Aug 05 19:16:45 +0000 2018,0.823,0.079,0.098,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @TheNeighborhood: ""It was so well done, as far as I was concerned, that it became a no brainer to do the show. I called the next morning…",176
0.0,Sun Aug 05 19:15:53 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @TheNeighborhood: ""This is a show about people. This is a show about families, neighbors, friendships... At its core, this is a show abo…",177
0.4588,Sun Aug 05 18:54:24 +0000 2018,0.818,0.0,0.182,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @TheNeighborhood: We're here at the #CBS #TCA18 giving you the inside scoop on #TheNeighborhood with our stars @CedEntertainer, @Tichina…",178
0.0,Sun Aug 05 18:01:09 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @MurphyBrownCBS: That's a wrap on the #MurphyBrown panel at #TCA18! @TheNeighborhood is up next! #CBS,179
0.0,Sun Aug 05 17:55:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MurphyBrownCBS: Diane English reveals ""We have an enormously famous person in our first episode,"" but keeps the secret under wraps! 🙊 #…",180
0.0,Sun Aug 05 17:51:13 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MurphyBrownCBS: Diane English talks about how to stay topically relevant while writing scripts ahead of time &amp; also said, ""We have an i…",181
0.0,Sun Aug 05 17:47:01 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @MurphyBrownCBS: All the feels! ❤️ #MurphyBrown returns to #CBS this fall! https://t.co/OvQk3CV49W,182
-0.0018,Sun Aug 05 17:39:48 +0000 2018,0.853,0.074,0.073,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MurphyBrownCBS: ""It's been very emotional for the old guys... We saw Murphy's townhouse and we all got tears in our eyes."" -Candice Ber…",183
0.0,Sun Aug 05 17:28:37 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Stay tuned, because @MurphyBrownCBS is up next at the #CBS #TCA18! https://t.co/0qdjQiFrwW",184
-0.0602,Sun Aug 05 17:28:03 +0000 2018,0.599,0.219,0.182,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @FBICBS: “Even though I was scared to say yes, it was so clear you don’t say no. I knew I couldn’t say no. I couldn’t be more grateful,…",185
